model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample,score
XGBoost,2000,0.1,73,4.0,,,,100,0.99,0.99,0.99,0.99,0.999,1.0,0.05,1.0,0.9909
XGBoost,2000,0.1,74,4.0,,,,200,0.99,0.99,0.99,0.99,0.9992999999999999,1.0,0.05,0.8,0.99093
XGBoost,2000,0.1,75,4.0,,,,200,0.99,0.99,0.99,0.99,0.9991,1.0,0.05,1.0,0.99091
XGBoost,2000,0.1,76,4.0,,,,300,0.99,0.99,0.99,0.99,0.9991999999999999,1.0,0.05,0.8,0.99092
XGBoost,2000,0.1,77,4.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989999999999999,1.0,0.05,1.0,0.9954272646667651
XGBoost,2000,0.1,78,6.0,,,,100,0.99,0.99,0.99,0.99,0.9989,1.0,0.05,0.8,0.99089
XGBoost,2000,0.1,79,6.0,,,,100,0.99,0.99,0.99,0.99,0.9989,1.0,0.05,1.0,0.99089
XGBoost,2000,0.1,80,6.0,,,,200,0.99,0.99,0.99,0.99,0.999,1.0,0.05,0.8,0.9909
XGBoost,2000,0.1,81,6.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,1.0,0.05,1.0,0.9954172646667652
XGBoost,2000,0.1,82,6.0,,,,300,0.99,0.99,0.99,0.99,0.999,1.0,0.05,0.8,0.9909
XGBoost,2000,0.1,83,6.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,1.0,0.05,1.0,0.9954172646667652
XGBoost,2000,0.1,84,8.0,,,,100,0.99,0.99,0.99,0.99,0.9987,1.0,0.05,0.8,0.99087
XGBoost,2000,0.1,85,8.0,,,,100,0.99,0.99,0.99,0.99,0.9986999999999999,1.0,0.05,1.0,0.99087
XGBoost,2000,0.1,86,8.0,,,,200,0.99,0.99,0.99,0.99,0.999,1.0,0.05,0.8,0.9909
XGBoost,2000,0.1,87,8.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,1.0,0.05,1.0,0.9954372646667651
XGBoost,2000,0.1,88,8.0,,,,300,0.99,0.99,0.99,0.99,0.9991,1.0,0.05,0.8,0.99091
XGBoost,2000,0.1,89,8.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9992000000000001,1.0,0.05,1.0,0.9954472646667651
XGBoost,2000,0.1,90,4.0,,,,100,0.99,0.99,0.99,0.99,0.9990999999999999,1.0,0.1,0.8,0.99091
XGBoost,2000,0.1,91,4.0,,,,100,0.99,0.99,0.99,0.99,0.9991,1.0,0.1,1.0,0.99091
XGBoost,2000,0.1,92,4.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9993,1.0,0.1,0.8,0.9954572646667651
XGBoost,2000,0.1,93,4.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,1.0,0.1,1.0,0.9954372646667651
XGBoost,2000,0.1,94,4.0,,,,300,0.99,0.99,0.99,0.99,0.9993,1.0,0.1,0.8,0.99093
XGBoost,2000,0.1,95,4.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,1.0,0.1,1.0,0.9954372646667651
XGBoost,2000,0.1,96,6.0,,,,100,0.99,0.99,0.99,0.99,0.999,1.0,0.1,0.8,0.9909
XGBoost,2000,0.1,97,6.0,,,,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,1.0,0.1,1.0,0.9954172646667652
XGBoost,2000,0.1,98,6.0,,,,200,0.99,0.99,0.99,0.99,0.9991,1.0,0.1,0.8,0.99091
XGBoost,2000,0.1,99,6.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,1.0,0.1,1.0,0.9954172646667652
