model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample
XGBoost,2000,0.1,81,6.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,1.0,0.05,1.0
XGBoost,2000,0.1,82,6.0,,,,300,0.99,0.99,0.99,0.99,0.999,1.0,0.05,0.8
XGBoost,2000,0.1,83,6.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,1.0,0.05,1.0
XGBoost,2000,0.1,84,8.0,,,,100,0.99,0.99,0.99,0.99,0.9987,1.0,0.05,0.8
XGBoost,2000,0.1,85,8.0,,,,100,0.99,0.99,0.99,0.99,0.9986999999999999,1.0,0.05,1.0
XGBoost,2000,0.1,86,8.0,,,,200,0.99,0.99,0.99,0.99,0.999,1.0,0.05,0.8
XGBoost,2000,0.1,87,8.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,1.0,0.05,1.0
XGBoost,2000,0.1,88,8.0,,,,300,0.99,0.99,0.99,0.99,0.9991,1.0,0.05,0.8
XGBoost,2000,0.1,89,8.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9992000000000001,1.0,0.05,1.0
XGBoost,2000,0.1,90,4.0,,,,100,0.99,0.99,0.99,0.99,0.9990999999999999,1.0,0.1,0.8
XGBoost,2000,0.1,91,4.0,,,,100,0.99,0.99,0.99,0.99,0.9991,1.0,0.1,1.0
XGBoost,2000,0.1,92,4.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9993,1.0,0.1,0.8
XGBoost,2000,0.1,93,4.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,1.0,0.1,1.0
XGBoost,2000,0.1,94,4.0,,,,300,0.99,0.99,0.99,0.99,0.9993,1.0,0.1,0.8
XGBoost,2000,0.1,95,4.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,1.0,0.1,1.0
XGBoost,2000,0.1,96,6.0,,,,100,0.99,0.99,0.99,0.99,0.999,1.0,0.1,0.8
XGBoost,2000,0.1,97,6.0,,,,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,1.0,0.1,1.0
XGBoost,2000,0.1,98,6.0,,,,200,0.99,0.99,0.99,0.99,0.9991,1.0,0.1,0.8
XGBoost,2000,0.1,99,6.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,1.0,0.1,1.0
XGBoost,2000,0.1,100,6.0,,,,300,0.99,0.99,0.99,0.99,0.9993000000000001,1.0,0.1,0.8
XGBoost,2000,0.1,101,6.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9988999999999999,1.0,0.1,1.0
XGBoost,2000,0.1,102,8.0,,,,100,0.99,0.99,0.99,0.99,0.999,1.0,0.1,0.8
XGBoost,2000,0.1,103,8.0,,,,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,1.0,0.1,1.0
XGBoost,2000,0.1,104,8.0,,,,200,0.99,0.99,0.99,0.99,0.9994,1.0,0.1,0.8
XGBoost,2000,0.1,105,8.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9992000000000001,1.0,0.1,1.0
XGBoost,2000,0.1,106,8.0,,,,300,0.99,0.99,0.99,0.99,0.9994,1.0,0.1,0.8
XGBoost,2000,0.1,107,8.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9993,1.0,0.1,1.0
RandomForest,2000,0.2,108,,sqrt,1.0,2.0,100,0.99,0.99,0.99,0.99,0.9985999999999999,,,
RandomForest,2000,0.2,109,,sqrt,1.0,2.0,200,0.99,0.99,0.99,0.99,0.9986625,,,
RandomForest,2000,0.2,110,,sqrt,1.0,2.0,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9984999999999999,,,
RandomForest,2000,0.2,111,,sqrt,1.0,5.0,100,0.99,0.99,0.99,0.99,0.9975,,,
RandomForest,2000,0.2,112,,sqrt,1.0,5.0,200,0.99,0.99,0.99,0.99,0.997525,,,
RandomForest,2000,0.2,113,,sqrt,1.0,5.0,300,0.99,0.99,0.99,0.99,0.998,,,
RandomForest,2000,0.2,114,,sqrt,2.0,2.0,100,0.99,0.99,0.99,0.99,0.998225,,,
RandomForest,2000,0.2,115,,sqrt,2.0,2.0,200,0.99,0.99,0.99,0.99,0.998325,,,
