model,dataset_size,test_size,param_id,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,accuracy,precision,recall,f1,roc_auc
XGBoost,500,0.2,43,1.0,0.05,6,100,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9947999999999999
XGBoost,500,0.2,44,1.0,0.05,6,300,0.8,0.96,0.9423076923076923,0.98,0.9607843137254902,0.99
XGBoost,500,0.2,45,1.0,0.05,6,300,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9908
XGBoost,500,0.2,46,1.0,0.05,6,500,0.8,0.96,0.9423076923076923,0.98,0.9607843137254902,0.9895999999999999
XGBoost,500,0.2,47,1.0,0.05,6,500,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9896
XGBoost,500,0.2,48,1.0,0.05,8,100,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.994
XGBoost,500,0.2,49,1.0,0.05,8,100,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9947999999999999
XGBoost,500,0.2,50,1.0,0.05,8,300,0.8,0.96,0.9423076923076923,0.98,0.9607843137254902,0.99
XGBoost,500,0.2,51,1.0,0.05,8,300,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9908
XGBoost,500,0.2,52,1.0,0.05,8,500,0.8,0.96,0.9423076923076923,0.98,0.9607843137254902,0.9895999999999999
XGBoost,500,0.2,53,1.0,0.05,8,500,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9896
XGBoost,500,0.2,54,1.0,0.1,4,100,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9947999999999999
XGBoost,500,0.2,55,1.0,0.1,4,100,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9927999999999999
XGBoost,500,0.2,56,1.0,0.1,4,300,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9924
XGBoost,500,0.2,57,1.0,0.1,4,300,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.988
XGBoost,500,0.2,58,1.0,0.1,4,500,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9924
XGBoost,500,0.2,59,1.0,0.1,4,500,1.0,0.97,0.9607843137254902,0.98,0.9702970297029703,0.988
XGBoost,500,0.2,60,1.0,0.1,6,100,0.8,0.97,0.9607843137254902,0.98,0.9702970297029703,0.9935999999999999
