,accuracy,precision,recall,f1,roc_auc
count,1620.0,1620.0,1620.0,1620.0,1620.0
mean,0.9800128172153636,0.9784807510450115,0.9818407921810699,0.9800704296128782,0.9968980652363397
std,0.014265044894244405,0.017909948139535028,0.01569190013761721,0.014130090901668028,0.003097292202869386
min,0.9333333333333332,0.922077922077922,0.94,0.9342105263157896,0.9845333333333334
25%,0.9733333333333334,0.9695652173913044,0.9733333333333334,0.9731543624161074,0.9955555555555556
50%,0.9833333333333332,0.9832775919732442,0.9866666666666668,0.9833887043189368,0.9980555555555556
75%,0.99,0.99,0.9916666666666668,0.9900062344139651,0.999206640625
max,1.0,1.0,1.0,1.0,1.0
